IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>38>33>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;14>7>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;2>;2>1>;2>1>46>;2>14>;2>14>2>;2>14>41>;2>2>;2>2>31>;2>3>;2>31>;2>31>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>;32>31>;32>31>30>;33>;34>;34>36>;34>38>;36>;36>14>;36>34>;36>34>38>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>;38>14>;38>33>;38>36>;38>41>;39>;39>38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>5>;7>5>5>;7>6>;8>
15669-6398;SUCESSO;1;0;1;1;0;40;2;5;0;0;1;0;0;0;5;0;2;0;0;0;0;2;0;0;0;5;0;0;5;1;0;1;0;0;0;2;0;0;0;0;2;2;1;0;8;0;0;0;0;0;2;0;0;3;2;0;2;0;0;0;1;0;0;0;9;2;0;0;2;2;2;7;1;3;0;3;3;2;0;0;0;1;1;0;0;14;0;1;8;0;6;3;3;3;2;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;2;1;0;0;1;0;1;1;1;1;1;0;9;1;1;0;1;0;0;23;0;1;3;2;1;8;0;1;5;3;0;1;0;0;1;2;0;1;0;1;1;1;0;0;1;0;0;0;0;3;1;0;0;
17083-4604;SUCESSO;3;1;1;1;0;95;4;6;3;1;2;0;3;0;15;0;11;0;8;5;5;3;0;0;0;0;0;0;27;5;0;11;6;0;0;3;0;1;1;1;0;0;0;0;25;2;0;6;0;3;2;0;0;3;2;0;1;0;1;1;0;12;0;0;31;5;1;0;0;0;2;24;5;17;5;14;12;11;9;5;0;7;3;0;0;38;4;0;26;0;23;17;14;12;11;2;1;0;0;7;4;3;0;2;2;1;3;2;0;1;14;0;2;1;3;0;2;0;0;0;0;0;14;4;3;2;0;10;4;78;4;7;4;0;3;20;0;3;9;2;0;2;1;0;2;0;0;0;0;0;1;0;1;0;5;4;2;0;0;6;4;4;0;
17604-4130;SUCESSO;0;0;0;0;0;196;15;6;0;2;0;0;0;0;46;2;24;5;6;5;3;1;1;0;0;10;0;3;17;1;1;5;0;14;4;6;0;1;1;1;4;4;1;0;9;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;40;11;1;2;0;0;0;10;2;8;1;3;2;1;0;1;1;4;1;2;1;63;6;0;32;8;9;7;3;2;1;0;0;0;1;1;1;2;1;1;0;0;2;1;0;1;9;1;1;1;0;0;0;0;0;0;0;1;17;1;2;5;0;0;0;28;2;1;3;2;1;8;0;0;1;0;0;1;0;0;0;22;2;0;0;8;19;11;4;2;4;2;3;1;1;12;2;2;1;
17813-4130;SUCESSO;1;0;0;0;0;68;1;7;0;2;0;0;0;0;5;0;4;1;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;4;4;4;0;1;0;0;5;5;2;3;26;0;0;1;0;0;6;0;0;0;0;0;2;0;1;1;0;0;0;0;22;7;1;0;0;0;1;7;4;3;0;1;0;0;0;1;0;1;1;1;2;21;1;1;11;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;4;0;2;1;0;0;0;0;0;0;0;0;10;2;1;0;0;0;0;33;0;0;0;0;0;5;0;0;1;0;0;1;1;0;0;6;0;0;1;0;9;3;7;3;0;0;27;6;1;6;0;0;3;
18027-4130;SUCESSO;4;3;2;2;0;47;1;8;2;1;1;0;0;0;11;1;1;1;0;0;0;1;1;0;0;1;0;0;14;2;1;3;0;0;0;0;0;4;4;0;1;1;0;0;20;2;2;4;0;1;3;0;0;1;0;0;1;0;2;1;0;2;0;1;12;4;1;2;0;0;0;4;1;1;1;0;0;0;0;1;1;1;0;2;0;24;7;0;11;3;3;1;0;0;0;0;0;0;0;4;4;4;1;2;2;1;3;2;1;1;11;0;1;1;6;0;5;5;3;3;3;1;11;2;3;3;0;1;1;31;1;3;5;4;1;6;0;2;1;0;0;4;2;2;2;1;1;0;0;1;0;0;0;0;6;5;12;1;0;5;4;3;1;
18030-4130;SUCESSO;2;1;2;2;0;23;3;2;1;0;0;0;5;3;3;0;2;1;0;0;0;0;0;0;0;1;0;0;6;0;0;3;1;2;2;0;0;4;3;0;1;0;0;0;11;1;1;3;0;2;2;0;0;1;0;0;1;0;1;1;0;10;0;4;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;15;4;0;9;2;0;0;0;0;0;6;4;0;0;1;0;1;1;3;3;3;2;1;0;1;5;0;1;1;2;0;1;1;1;1;1;0;8;1;1;0;1;1;1;8;0;2;0;0;2;4;0;0;2;1;0;4;1;1;2;2;0;0;0;0;3;1;3;1;1;1;0;0;0;1;1;1;0;
18047-6398;insucesso;1;0;1;1;0;231;5;13;1;1;1;1;53;18;15;1;9;0;4;2;0;0;64;57;33;4;1;0;12;1;0;5;2;3;0;3;1;1;1;1;1;1;0;0;56;1;1;2;0;0;7;1;3;2;1;1;11;5;0;0;0;68;2;23;92;3;0;1;0;0;4;37;2;13;0;7;7;3;0;8;2;18;11;6;5;109;4;3;76;1;32;10;5;5;0;11;8;2;2;18;11;2;1;92;81;47;2;0;0;0;17;0;0;0;4;0;1;1;1;0;0;0;16;0;2;9;0;7;0;46;2;5;2;1;1;20;4;2;6;2;1;1;0;0;1;10;0;0;2;1;4;1;4;0;5;4;0;0;0;8;5;4;0;4
18070-6388;SUCESSO;0;0;0;0;0;38;1;4;1;1;1;0;0;0;12;0;3;0;0;0;0;1;0;0;0;1;0;1;5;1;2;2;1;0;0;0;0;0;0;0;3;1;0;0;13;0;0;1;0;0;4;0;0;4;2;0;2;0;0;0;0;0;0;0;8;0;0;0;1;1;3;2;0;1;0;0;0;0;0;1;1;1;1;2;0;26;1;4;6;0;2;1;0;0;0;0;0;0;0;1;0;3;2;0;0;0;1;1;0;0;3;0;1;0;1;0;1;1;1;1;1;1;3;0;1;2;0;0;0;17;0;3;5;0;0;4;0;0;2;1;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
18163-4605;insucesso;1;1;0;0;0;19;0;4;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9;0;0;2;2;0;0;3;0;0;0;0;0;0;0;0;6;0;0;1;0;1;1;0;0;1;1;0;4;3;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;1;4;0;1;0;1;1;0;0;0;0;0;0;8;2;2;0;3;0;0;28;0;1;0;0;1;15;1;0;9;5;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;6;0;0;3;
18163-6398;SUCESSO;0;0;0;0;0;23;2;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;6;1;0;3;0;0;0;0;0;1;1;1;0;0;0;0;4;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;6;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;3;2;1;0;24;0;1;0;7;0;1;1;1;1;1;3;11;1;3;1;0;1;1;21;0;1;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
