IdAluno;Resultado;1>;14>;14>14>;14>14>31>;14>2>;14>2>14>;14>2>2>;14>2>2>31>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;17>30>31>;2>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>2>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>41>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>;32>31>;32>31>30>;38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>7>;42>;46>;48>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>31>;7>5>;7>5>5>;7>6>;8>
18027-4130;SUCESSO;2;17;0;0;3;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;2;0;0;0;0;5;1;1;2;0;0;0;0;0;0;2;2;0;1;1;0;0;0;9;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;4;1;0;0;0;1;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;11;3;1;0;4;0;2;1;0;0;0;0;0;0;1;0;0;0;2;0;1;0;1;1;0;1;10;1;1;2;2;3;0;1;1;0;0;1;0;2;1;1;0;0;1;0;0;0;0;0;0;5;4;0;0;0;3;0;0;3;2;0;0
18030-4130;SUCESSO;0;11;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;3;1;2;2;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;5;3;1;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;1;4;0;2;0;0;3;1;0;2;1;0;1;0;0;1;0;0;0;0;0;3;1;3;1;1;1;1;0;0;0;1;0;0;1;1;0;0
18081-5468;insucesso;0;11;0;0;2;0;1;1;0;0;1;0;0;5;0;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;2;0;0;0;0;1;1;1;1;2;2;1;1;0;0;1;0;1;8;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;0;0;7;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18163-4605;insucesso;0;7;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;1;0;0;5;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0
18184-7098;insucesso;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;4;1;0;2;0;0;0;0;0;0
18187-4605;SUCESSO;0;41;1;0;3;0;2;0;0;0;0;0;0;8;0;3;0;2;1;1;1;0;2;0;0;0;0;0;6;1;0;1;0;5;4;3;1;0;1;1;0;2;2;0;1;1;11;0;0;0;0;4;2;0;0;4;0;0;1;0;0;0;0;0;13;2;0;0;0;0;0;0;0;8;1;0;5;0;4;3;2;1;1;0;0;1;1;0;0;0;0;21;0;0;1;6;0;3;2;2;2;2;1;0;0;0;0;4;1;5;1;0;0;0;0;0;2;16;0;3;1;1;5;1;0;1;0;0;0;0;0;12;0;0;0;0;0;10;6;6;4;2;5;3;9;2;1;4;0;0;2;2;2;0
18201-4605;insucesso;0;23;3;0;3;2;0;0;0;0;0;7;1;1;1;0;0;0;0;0;0;0;0;0;0;6;6;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;6;3;1;0;0;0;0;0;2;0;0;0;0;0;0;10;6;3;9;1;0;0;0;0;0;0;0;4;0;0;1;0;1;1;1;0;0;0;0;0;0;0;2;0;3;13;5;0;0;8;1;3;1;1;1;0;0;0;0;0;2;0;0;0;0;1;1;11;8;5;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;4;1;0;1;0;0;1;0;1;0;0;1;1;2;0;0;6;1;0;1;1;2;6
18208-7098;insucesso;0;12;0;0;1;0;0;0;0;0;0;0;0;7;1;3;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8;2;0;2;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18217-4605;SUCESSO;1;23;1;0;1;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;3;1;0;1;1;0;4;4;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;14;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;2;0;0;2;0;0;0;0;0;0;0;1;4;0;0;0;1;0;3;2;2;2;1;4;4;5;1;0;6;1;1;2;2;1;0
18267-4130;SUCESSO;0;21;1;0;6;0;1;0;2;1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;2;0;1;1;0;1;1;1;1;1;0;0;1;12;1;1;0;0;2;0;0;0;2;1;0;1;0;0;1;0;0;6;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;5;5;1;0;0;1;12;1;0;0;6;1;1;0;0;0;0;0;4;4;0;0;1;1;0;0;0;0;0;0;0;0;11;0;2;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0
18523-7274;SUCESSO;0;34;1;1;6;0;0;0;2;1;0;0;0;11;0;10;0;4;1;1;0;0;1;0;0;0;0;0;10;1;1;4;2;0;0;2;0;0;1;1;0;4;4;1;1;1;16;0;0;0;0;0;0;0;0;4;2;0;0;0;1;0;0;0;41;4;2;2;2;1;0;0;1;15;1;0;5;0;4;2;2;1;1;2;7;4;2;0;0;1;13;35;1;0;1;25;2;9;2;1;0;0;0;1;1;0;5;4;3;1;1;1;0;1;1;0;0;23;0;2;4;1;11;1;2;4;0;0;0;0;0;15;0;1;7;1;0;0;0;0;0;0;0;0;6;1;0;3;0;1;0;0;0;0
18571-4604;insucesso;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
