IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>39>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>2>31>;2>3>;2>3>2>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;2>46>1>2>;28>;29>;3>;3>14>;3>2>;3>2>14>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>;32>31>;32>31>30>;33>;34>;36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>38>;38>;38>14>;38>33>;38>36>;38>41>;39>;39>38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>30>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>5>;7>5>5>;7>6>;8>
22499-5388;SUCESSO;3;2;2;0;20;0;0;1;0;0;0;0;1;0;0;5;0;4;0;2;2;0;0;0;0;0;2;0;5;0;1;0;0;0;0;0;4;4;2;3;2;0;0;13;3;2;0;0;0;2;0;0;0;3;3;2;2;2;1;1;0;0;0;0;0;0;18;0;0;0;0;0;0;0;1;7;0;3;0;0;0;0;0;0;0;1;1;0;0;21;0;1;14;0;7;3;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;24;0;1;3;2;0;0;0;0;0;0;0;5;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22677-5469;SUCESSO;2;1;1;1;17;2;0;0;0;0;0;0;0;6;2;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;11;2;1;1;1;0;4;0;0;0;0;0;0;1;1;1;1;0;0;9;0;2;0;4;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;2;1;0;1;6;1;0;3;0;1;0;0;0;0;0;2;1;0;1;0;0;1;0;2;2;0;1;1;4;1;3;2;2;0;0;3;0;1;1;1;5;0;9;0;1;0;0;0;3;0;0;0;0;0;2;1;1;2;1;0;0;0;1;0;0;0;0;0;3;0;0;2;0;0;1;0
22788-5468;SUCESSO;1;0;1;1;106;7;0;7;0;2;3;0;1;0;0;27;0;22;0;21;14;12;0;0;0;0;3;0;18;0;0;6;2;0;0;3;2;2;2;20;20;1;16;22;1;1;1;2;0;6;0;0;0;4;2;1;4;0;0;0;6;1;1;0;0;0;87;13;0;0;0;1;3;3;2;68;10;33;3;22;14;10;10;9;3;14;9;4;2;73;4;2;58;2;44;24;17;13;9;9;3;2;0;0;4;3;4;1;1;0;0;2;1;11;1;4;2;1;1;0;7;1;0;1;1;3;0;58;3;3;1;1;0;16;0;0;4;3;0;1;0;0;1;5;0;0;0;0;0;0;0;3;1;6;4;0;8;3;1;0;0
22801-5468;insucesso;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23180-5388;SUCESSO;0;0;0;0;18;0;0;1;1;0;0;0;0;1;1;4;0;3;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;1;0;1;1;1;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;0;9;3;0;1;1;1;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;3;7;1;0;4;1;1;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;3;0;0;0;0;0;0;1;0;1;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;2;2;0;0;0;0;2;1;0;0;0;2;1;1;0;0
23725-5468;SUCESSO;3;1;2;2;59;9;0;6;0;1;0;0;1;1;1;24;0;13;0;0;0;0;2;0;0;0;3;0;10;0;0;7;4;1;1;1;1;1;0;18;15;0;1;13;2;2;1;2;1;2;0;0;0;0;0;0;1;0;0;0;0;17;1;0;1;0;58;1;0;0;0;1;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;1;43;3;0;23;1;2;1;0;0;0;0;0;0;0;0;3;2;1;13;0;0;0;3;1;12;0;7;2;2;0;1;6;1;2;2;1;0;0;27;2;2;2;0;1;12;0;0;7;5;0;8;1;0;2;20;0;1;4;3;3;2;2;3;2;0;0;0;5;2;2;0;0
23953-5468;insucesso;2;1;1;1;65;4;0;3;0;0;0;0;1;14;3;1;0;0;0;0;0;0;0;5;3;0;5;3;7;0;0;2;0;2;0;0;1;1;0;1;1;0;0;13;1;1;1;1;0;2;0;2;1;1;0;0;3;1;0;0;0;0;22;2;7;1;11;1;0;0;0;0;0;0;0;4;0;3;0;2;0;0;0;0;0;1;0;0;0;12;2;0;4;0;2;2;2;0;0;0;0;0;0;0;1;1;0;1;10;5;1;1;1;8;1;4;1;1;1;0;6;2;1;2;0;4;0;29;0;1;0;0;2;7;0;0;4;1;1;2;1;1;1;3;0;1;0;2;1;2;1;0;0;3;1;0;2;0;0;0;0
24986-5469;SUCESSO;2;2;0;0;49;0;0;3;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;18;0;0;3;0;0;0;0;1;1;0;0;0;0;0;16;1;0;0;1;0;2;0;0;0;2;1;0;2;1;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;1;0;0;1;1;12;0;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;3;1;2;1;1;0;0;4;0;1;0;0;0;0;66;1;0;0;0;0;12;0;0;2;1;0;2;2;2;0;33;28;0;0;0;0;0;0;4;3;0;0;0;4;3;3;0;0
27383-5468;insucesso;2;1;1;1;7;1;0;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;10;1;0;0;2;0;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27473-5469;insucesso;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
