IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;1>46>2>14>;13>;14>;14>14>;14>14>2>;14>14>41>;14>2>;14>2>46>;14>2>46>1>;14>2>46>1>2>;14>3>;14>3>14>;14>3>2>;14>30>;14>31>;14>31>14>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>31>;14>41>41>41>;14>41>41>41>41>;14>42>;14>43>;14>43>44>;14>43>44>44>;14>45>;14>45>43>;14>48>;14>48>13>;14>49>;14>49>48>;14>49>49>;14>7>;14>7>5>;14>8>;14>8>7>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;24>;29>;29>14>;29>30>;29>48>;3>;3>14>;3>2>;30>;30>14>;30>30>;30>30>14>;30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>29>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>31>30>30>;41>41>;41>41>14>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>14>;43>41>;43>43>;43>44>;43>44>14>;43>44>14>41>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>45>;45>;45>43>;45>43>44>;46>;46>1>;46>1>2>;46>2>;46>2>14>;48>;48>13>;48>14>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>30>;48>48>;48>49>;49>;49>14>;49>48>;49>48>29>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>14>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;8>7>5>;8>7>5>5>;8>7>6>
27630-4114;insucesso;2;0;2;2;2;0;37;1;0;0;2;0;0;0;0;0;0;0;3;0;2;0;0;13;1;5;0;3;0;0;1;1;0;0;0;0;0;5;2;3;0;0;0;0;2;2;0;0;5;2;2;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;3;2;0;0;0;9;3;0;0;6;0;2;2;3;2;0;0;0;0;0;0;0;0;0;0;36;0;1;2;0;2;0;17;0;0;1;0;12;8;5;3;1;1;2;0;0;0;3;3;0;0;1;0;0;1;1;1;0;2;0;0;0;0;1;0;1;0;1;0;1;1;1;0;2;0;0;2;2;3;0;0;0;0;0;0;0;0;0;6;1;3;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28027-4114;insucesso;2;2;1;1;0;0;23;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;7;0;2;1;1;1;1;1;1;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;7;1;1;1;1;0;4;0;1;0;2;2;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;13;0;1;1;0;0;0;5;0;0;1;0;3;2;1;1;1;0;0;0;0;1;2;0;0;0;2;2;1;1;0;0;0;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;2;2;2;1;0;4;0;1;0;0;0;0;1;0;0;3;0;3;0;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
28136-4114;insucesso;2;1;1;0;0;0;14;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;6;0;0;0;0;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
28164-4114;insucesso;1;0;1;1;1;0;55;1;0;1;5;0;0;0;0;0;0;0;20;0;10;0;0;13;2;1;1;0;0;0;0;0;0;0;0;0;0;4;1;3;1;1;1;0;5;5;0;0;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;4;3;0;0;1;1;1;0;3;35;5;2;0;15;0;3;0;1;1;1;1;2;0;0;0;1;0;1;0;26;0;0;4;2;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;3;1;1;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;8;0;1;0;0;0;0;2;0;0;7;2;4;0;5;3;3;1;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0
28177-4114;insucesso;2;1;1;1;1;0;36;7;1;3;3;0;0;0;2;1;1;0;1;0;1;1;0;14;0;3;0;1;1;1;1;0;0;1;1;1;0;0;0;0;2;1;0;0;0;0;0;0;8;1;1;1;2;2;4;0;2;0;0;0;0;2;2;0;0;0;3;1;1;7;4;2;0;1;2;2;0;0;0;8;0;0;0;4;0;2;1;0;0;1;0;1;0;1;0;3;0;2;2;38;1;0;2;0;0;0;11;1;0;0;0;3;2;2;1;0;1;5;3;2;2;7;2;0;0;4;2;2;2;2;1;0;4;3;2;0;0;2;1;2;1;1;0;1;3;3;1;2;1;1;1;1;4;0;1;0;0;0;0;0;1;0;2;1;1;0;1;0;1;3;1;16;1;4;2;0;4;0;2;1;1;0;0;0;0;0
29011-4114;SUCESSO;3;0;3;3;0;0;71;2;0;2;2;0;0;0;0;0;0;0;5;0;1;0;0;34;0;10;0;2;1;0;8;8;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;18;2;2;2;2;1;0;0;4;2;0;0;0;0;0;0;0;0;10;0;0;18;8;8;4;2;0;0;0;3;0;25;0;0;0;16;4;7;0;0;0;6;6;3;1;2;0;1;0;0;0;92;2;7;7;0;4;2;39;0;0;4;3;20;8;3;1;1;0;8;5;0;1;29;0;3;1;22;0;0;8;5;2;1;37;6;3;1;1;10;4;6;3;2;1;0;2;0;0;3;0;0;3;0;4;0;2;0;0;0;0;0;1;0;6;3;2;0;3;0;0;1;1;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0
29016-4114;insucesso;2;2;0;0;0;0;31;0;0;0;3;1;1;1;2;2;0;0;2;0;1;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;5;0;0;0;1;0;0;3;0;0;1;1;1;0;0;0;0;0;5;5;0;7;0;0;0;0;7;3;0;0;0;10;5;0;0;7;0;0;0;7;3;1;1;0;0;0;0;2;1;2;0;35;0;1;1;0;1;0;9;0;0;1;0;3;3;1;1;0;0;0;0;0;0;4;0;0;0;3;0;0;1;0;0;0;11;1;0;0;0;3;1;1;0;0;0;2;2;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5;1;1;1;1;6;0;2;2;2;4;4;1;1;1
31165-4448;insucesso;2;1;1;1;1;0;50;5;3;2;11;1;1;1;0;0;0;0;2;0;1;2;0;16;0;7;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;20;1;1;1;5;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;3;1;1;0;0;1;0;0;0;0;5;0;0;0;3;0;1;0;1;0;2;1;3;0;0;0;2;1;0;0;47;0;5;2;0;0;0;15;0;2;2;0;5;3;1;0;0;2;4;3;2;0;12;0;0;0;9;1;1;4;3;2;0;25;1;1;0;0;6;0;3;0;2;0;1;1;1;1;2;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;2;0;3;0;0;0;2;2;2;0;0;1
31317-4114;SUCESSO;4;2;2;2;0;0;55;3;0;2;8;0;0;0;0;0;0;0;7;1;1;1;0;21;0;8;0;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;19;1;1;1;4;1;0;0;4;1;2;2;2;0;1;0;0;0;0;0;0;7;3;5;3;2;2;1;0;0;0;20;6;0;2;6;0;4;0;2;0;0;0;1;0;2;0;2;0;1;0;48;2;2;7;3;2;2;16;0;0;3;1;7;7;5;5;5;0;1;0;0;0;3;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;2;2;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0
31400-4448;SUCESSO;2;1;1;1;0;0;59;2;0;1;14;0;0;0;0;0;0;0;3;1;2;0;0;13;0;4;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;3;3;0;0;19;1;1;1;3;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;13;1;4;0;0;1;1;0;0;0;19;1;0;0;10;0;4;0;1;0;0;0;1;0;0;0;0;0;0;0;29;0;0;3;0;2;1;7;0;0;2;2;1;0;0;0;0;0;1;1;0;0;10;0;2;1;7;0;0;5;2;1;1;9;0;0;0;0;6;0;3;0;2;2;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
31451-4448;SUCESSO;3;2;1;1;0;1;143;12;0;2;4;0;0;0;0;0;0;4;12;1;7;3;0;28;0;8;0;1;1;0;15;12;3;0;0;1;0;1;0;0;1;0;1;0;5;4;6;6;16;0;0;0;5;2;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;42;16;6;1;0;3;1;0;0;4;40;7;0;1;26;8;3;0;1;0;6;4;1;1;1;0;11;0;7;0;92;1;6;4;0;1;0;30;0;0;1;0;7;3;3;2;1;0;2;0;0;4;29;0;1;2;22;0;0;5;1;1;1;44;7;1;2;2;13;4;3;0;2;2;0;8;0;0;3;2;2;1;0;8;0;3;1;0;0;0;0;1;2;3;0;1;0;1;0;0;0;0;2;0;1;1;0;4;3;0;0;0;3;2;0;0;0
31462-4448;SUCESSO;2;1;1;1;0;0;40;5;0;0;7;0;0;0;0;0;0;0;5;1;0;1;0;10;0;6;0;5;3;0;2;2;0;0;0;1;0;0;0;0;1;0;3;0;0;0;1;1;12;1;1;1;2;1;1;0;3;2;1;1;1;0;1;0;0;0;3;0;0;9;1;0;0;0;1;0;0;0;0;13;1;0;1;6;1;0;0;1;0;2;0;3;3;2;0;3;0;1;0;29;2;2;5;0;4;0;14;0;0;3;2;9;4;1;0;0;0;3;3;0;1;5;0;0;0;5;0;0;4;2;1;0;6;3;1;1;1;5;3;2;2;1;0;0;0;0;0;2;1;1;1;0;4;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;0;11;4;0;5;2;0;0;0;4;3;0;0;0
31569-4114;insucesso;3;2;1;1;1;0;68;6;0;2;5;1;1;1;0;0;0;0;6;0;2;3;1;17;2;7;0;3;2;1;5;5;0;0;0;0;0;6;6;0;6;4;6;5;0;0;0;0;12;1;1;1;6;1;3;1;0;0;2;2;2;0;21;3;10;10;2;1;0;12;4;2;0;0;2;0;1;0;4;14;4;1;0;2;0;0;0;0;0;1;0;2;0;7;6;4;2;1;0;56;3;2;5;1;0;0;17;1;0;1;0;5;3;1;1;1;1;3;3;1;1;12;2;0;0;11;3;0;2;2;1;0;15;4;0;0;0;4;2;2;2;1;0;0;1;1;1;3;2;2;1;1;24;0;1;20;3;10;9;0;5;0;8;1;8;7;1;1;1;12;10;25;4;8;4;2;20;0;10;9;5;11;9;3;3;3
31570-4114;insucesso;2;1;1;1;0;0;45;0;0;0;2;0;0;0;0;0;0;0;4;0;2;1;1;20;0;7;2;3;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;9;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;11;0;6;0;3;1;1;0;0;1;13;1;0;0;10;0;5;3;1;1;1;1;1;0;0;0;2;0;2;2;71;1;0;5;1;3;0;23;1;0;3;0;12;8;3;2;1;1;3;2;0;2;8;0;0;0;5;1;0;1;0;0;0;15;3;0;0;0;3;1;1;1;0;0;0;1;1;0;2;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;4;0;4;3;0;1;1;1;0;0
31572-4448;insucesso;0;0;0;0;0;0;15;1;0;0;1;0;0;0;1;0;0;0;1;0;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;4;1;1;0;1;0;0;0;0;0;2;0;1;0;1;1;2;0;1;0;5;1;0;1;0;0;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31728-4114;SUCESSO;2;1;1;1;0;40;101;3;0;0;8;0;0;0;0;0;0;1;4;0;1;4;0;14;0;6;0;2;2;0;0;0;0;0;0;32;27;3;0;0;4;0;5;0;3;3;0;0;11;1;1;1;3;0;1;0;2;1;1;1;1;0;6;0;0;0;0;0;0;7;1;0;0;0;2;1;0;0;1;16;3;0;0;2;0;0;0;1;0;3;0;4;1;1;0;7;0;3;0;36;1;1;2;0;0;0;15;0;0;1;0;5;3;2;1;0;0;1;0;0;1;3;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;2;1;1;1;0;46;31;3;5;0;0;0;0;2;0;3;1;2;0;1;0;0;5;3;13;0;7;4;0;10;1;2;2;0;11;5;0;0;0
31729-4448;SUCESSO;2;0;1;1;0;0;20;3;0;1;4;0;0;0;0;0;0;0;5;2;1;0;0;4;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;12;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;16;2;0;1;1;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;31;0;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;2;2;0;0;9;0;0;2;8;0;0;5;4;4;4;8;2;1;0;0;5;2;4;2;4;4;0;0;0;0;2;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
31759-4114;insucesso;1;0;1;1;0;0;21;5;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;1;1;1;1;0;0;0;0;0;0;0;2;0;2;1;0;0;0;3;1;1;0;1;0;0;0;0;0;4;0;0;0;1;0;1;1;0;0;1;0;0;0;2;2;0;0;0;0;39;1;0;1;0;0;0;9;1;0;0;0;1;1;0;0;0;0;1;0;0;0;3;0;0;0;3;0;0;1;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
31784-4448;SUCESSO;2;2;0;0;0;0;39;2;0;0;5;0;0;0;0;0;0;0;5;1;1;0;0;12;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;12;0;0;0;2;1;2;0;0;0;1;1;1;0;2;0;0;0;0;0;0;5;0;2;0;0;0;0;0;2;0;13;2;0;0;5;0;2;0;0;0;2;0;2;1;2;0;0;0;0;0;52;1;0;2;1;1;1;11;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;0;0;2;5;0;0;1;0;0;0;21;2;1;0;0;5;0;1;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;7;2;3;3;0;0;0;0;0;0
31806-4114;insucesso;2;1;1;1;1;0;51;6;2;1;5;0;0;0;9;5;2;0;2;0;1;2;1;12;0;4;0;0;0;0;0;0;0;3;2;1;0;0;0;0;2;0;4;4;1;1;0;0;19;1;1;1;7;2;0;1;5;0;0;0;0;2;3;1;0;0;13;6;5;4;1;0;0;0;2;1;1;0;1;7;2;1;0;3;0;0;0;2;1;2;1;0;0;3;2;6;2;3;0;45;1;3;1;1;0;0;16;0;1;1;0;4;2;0;0;0;0;1;1;0;0;4;1;0;0;3;3;0;0;0;0;0;8;3;0;0;0;1;0;0;0;0;0;1;3;2;2;2;1;1;1;1;7;0;0;3;1;0;0;1;0;0;2;1;0;0;1;0;1;4;4;3;0;0;0;0;8;0;3;3;1;6;6;3;3;1
