IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>14>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>42>;14>43>;14>43>44>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>3>2>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>32>31>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>41>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>32>;31>31>;31>31>30>;31>32>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;42>;42>41>;43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>13>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>
35866-5489;SUCESSO;4;0;4;4;0;265;22;3;14;1;0;0;0;0;107;32;25;11;6;2;11;0;0;59;3;0;12;4;2;2;0;0;1;1;3;0;13;6;6;6;6;2;2;29;2;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;53;27;11;10;10;5;5;2;0;3;1;0;0;0;0;1;4;137;44;6;4;43;14;0;9;4;2;1;0;0;0;0;15;7;0;2;0;0;0;0;0;124;2;4;9;5;30;0;3;0;13;0;8;5;5;5;0;0;2;2;2;0;0;3;3;0;0;0;0;6;3;3;1;0;0;0;0;0;0;0;0;4;0;0;4;10;0;5;0;0;3;2;0;0;8;7;49;34;22;16;17;4;8;7;6
35908-5490;insucesso;8;5;6;5;0;29;2;2;4;1;1;7;2;6;1;0;0;0;0;0;0;2;1;11;0;0;5;1;0;0;0;1;1;1;0;0;0;0;0;1;1;2;2;19;6;6;5;6;1;1;3;5;4;0;2;2;2;6;11;2;10;6;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;1;2;0;42;0;0;2;0;10;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;5;5;5;11;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35920-5490;SUCESSO;4;0;4;4;0;75;7;2;6;2;0;2;0;0;4;0;2;0;2;1;2;0;0;23;0;0;5;1;1;0;0;0;6;5;2;0;4;2;1;1;1;0;0;17;3;3;3;7;0;0;0;0;0;2;0;0;0;0;3;0;0;4;1;0;1;4;1;3;1;1;0;0;0;0;0;0;0;0;10;3;0;0;2;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;93;2;2;2;0;19;0;1;0;7;0;3;1;0;0;0;0;0;0;0;0;0;16;13;8;6;4;4;23;5;2;15;3;9;2;6;1;5;2;0;4;0;0;4;1;0;0;0;0;3;1;0;0;5;3;26;1;0;0;9;1;3;2;2
35936-5489;insucesso;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;4;1;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;4;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;24;1;0;0;0;8;0;0;0;2;0;2;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;2;0;0;0;0;4;1;1;0;5;0;0;0;2
35962-5384;insucesso;2;1;1;0;0;40;6;4;12;4;0;2;1;1;4;2;1;0;0;0;0;1;0;13;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1;1;0;6;2;0;0;1;0;0;1;1;1;0;2;1;1;3;1;0;1;0;0;0;0;0;2;2;2;2;0;0;0;0;7;4;0;1;3;1;1;0;0;0;2;2;2;2;0;0;0;0;0;0;1;0;0;0;19;0;2;2;1;5;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35966-5384;SUCESSO;2;1;1;1;1;118;6;0;23;5;0;0;0;0;42;0;36;6;11;4;1;0;0;16;0;0;7;3;1;1;0;0;2;2;2;0;0;0;0;7;7;7;7;30;0;0;0;9;0;0;2;0;0;0;1;1;1;0;1;0;1;73;22;4;5;29;6;16;6;4;8;8;0;0;0;0;2;5;62;4;0;0;47;9;0;18;10;3;4;4;0;0;0;2;1;0;2;0;0;0;0;0;30;1;1;2;1;13;0;0;0;6;0;4;2;1;0;0;0;1;3;1;0;0;6;4;2;2;0;0;7;0;0;2;0;2;0;0;0;0;0;0;2;1;1;1;8;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0
35972-5489;SUCESSO;2;0;2;2;0;29;1;1;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;9;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;6;2;2;2;1;0;0;1;0;0;0;0;0;0;0;1;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;27;0;1;2;0;7;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;5;5;3;1;0;0;12;1;0;5;1;1;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35990-5489;SUCESSO;3;1;2;2;0;91;12;0;8;6;0;0;0;0;14;0;14;1;6;3;0;0;0;31;4;0;6;3;2;0;0;0;1;1;1;0;6;1;1;1;1;2;2;14;2;2;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;22;9;1;3;10;7;6;3;2;12;5;0;0;0;0;0;0;21;11;1;4;19;2;0;9;5;2;10;5;0;0;0;0;0;0;0;0;0;0;0;0;76;3;4;3;2;26;0;1;0;14;0;5;2;1;1;0;0;0;1;0;0;0;7;5;3;1;1;1;5;4;1;3;3;1;0;1;0;1;1;0;3;1;1;2;0;0;0;0;0;2;0;0;0;2;1;33;6;1;0;8;0;1;1;1
36041-5490;SUCESSO;2;0;2;2;0;41;2;2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;15;0;0;4;3;3;2;0;0;1;1;0;0;2;1;1;0;0;0;0;4;2;2;2;1;0;0;0;0;0;1;0;0;0;0;2;0;0;6;0;0;0;2;0;2;1;1;1;1;0;0;0;0;0;0;4;0;0;0;4;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;36;4;1;0;0;7;0;0;0;4;0;4;3;3;1;0;0;1;3;2;0;0;6;5;3;2;2;1;7;1;1;4;1;2;0;2;0;1;1;0;2;0;0;2;0;0;0;0;0;1;0;0;0;2;2;9;0;0;0;7;0;2;2;4
36054-5384;SUCESSO;3;2;1;1;0;35;1;1;6;0;0;5;0;0;2;1;1;0;0;0;0;0;0;17;0;0;7;2;1;1;0;0;5;4;0;0;0;0;0;3;3;0;0;21;0;0;0;4;0;0;2;0;0;1;2;2;2;0;7;0;6;10;1;0;0;8;1;6;5;4;1;0;0;0;0;0;2;0;12;1;1;0;8;0;0;7;6;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;69;2;1;2;1;26;0;0;0;14;0;6;2;1;0;0;0;2;3;3;0;0;11;11;5;3;2;1;22;3;2;7;1;4;1;4;1;3;1;0;3;2;2;1;1;0;0;0;0;0;0;0;0;3;2;3;0;0;0;3;0;2;2;0
